特色,連結事業,従業員数（単独）,従業員数（連結）,平均年齢,平均年収
自動車用プラグ、排気系センサー世界一。電子部品や医療機器、燃料電池なども。森村グループ,自動車関連82(24)、セラミック16(-1)、新規事業関連1(-258)、他1(2)【海外】81(2024.3),3289,15720,42.5,8940000
内外装タイル老舗。１６年に販売、製造、投資３事業統合、本業再建中。不動産マネジメント事業も,建設用陶磁器等84(-22)、不動産16(15)、住宅金融‥(2023.12),13,193,45.9,5280000
衛生陶器の中堅。アジアに全量を委託生産。２２年経営陣刷新機に多様化戦略。２３年持株会社化,住宅設備機器100(2023.11),0,127,---,---
回路・機構部品大手。省エネ、通信関連等向けセラミック基板で世界首位級。子会社で高級照明も,セラミック部品86(38)、照明機器14(13)【海外】68(2024.3),648,1382,43.4,8530000
鉄鋼業向け耐火物の総合大手。ＪＦＥ、神戸鋼と親密。高機能材に注力。傘下にイソライト工業,耐火物68(8)、断熱材12(19)、セラミックス2(4)、エンジニアリング17(7)、他1(60)【海外】30(2024.3),1246,3464,44.2,6430000
日本製鉄系。総合耐火物の大手で、消耗品が主力。インドやスペインなど海外事業拡大を加速,耐火物86(8)、ファーネス9(4)、セラミックス5(10)、不動産0(77)、他1(5)【海外】46(2024.3),2541,4997,42.0,6000000
中堅耐火物メーカー。鋳造用るつぼが主力で自動車部品向けが中心。鉄鋼向けや築炉工事も,耐火物56(8)、エンジニアリング33(10)、不動産4(60)、他7(2)(2024.3),194,252,43.5,6120000
セメント向け耐火れんが中堅。独立色。れんが貼り替えなどプラントにも注力。ニューセラ強化,耐火物43(4)、プラント36(14)、建材及び舗装用材18(8)、不動産賃貸3(46)、他1(21)(2024.3),271,339,42.6,6460000
鉄鋼業向けの耐火物メーカー。独立系で電炉向けが多い。セメント、ガラス、電子部品にも納品,耐火物等82(19)、エンジニアリング18(16)(2024.3),521,540,40.5,6510000
セラミックファイバー大手。アジアで生産拡大。品川リフラクトリーズのＴＯＢ成立で上場廃止,断熱関連92(17)、他8(6)【海外】31(2021.3),334,670,43.0,5820000
鉄鋼向け耐火物の大手。海外展開で先行し、米国、欧州、台湾、中国に生産拠点。炭素製品を育成,耐火物関連99(11)、他1(4)【海外】34(2024.3),383,910,44.6,6340000
工業用耐摩耗・耐熱セラミックス中堅メーカー。ベアリング用にも参入。エンジニアリング併営,【単独事業】セラミックス74(10)、エンジニアリング26(7)(2024.3),289,---,40.6,5780000
高層ビルやプラント、発電所向けに耐火建材や保温材の製造、販売から設計、施工も手がける,建築関連37(20)、プラント関連63(19)(2024.3),306,362,42.2,5420000
三州瓦大手３社の一角。洋風・和風製品を広く生産し、特に平板瓦に実績。積水ハウス等に納入,【単独事業】製品瓦36、商品瓦20、工事他44(2024.6),82,---,46.6,4610000
微細表面加工の液体研磨剤大手。光ファイバー向け研磨フィルムも。買収で一般研磨剤にも進出,製品81(-1)、受託19(-21)【海外】40(2024.3),395,478,39.7,5180000
半導体製造用のＣＭＰ（化学的機械的研磨）製品大手、先端品に強い。ウエハ研磨材も世界首位,ウエハーラッピング11、同ポリシング19、ＣＭＰ向け53、ハードディスク向け3、自社品他14【海外】78(2024.3),830,1165,42.4,8150000
愛知県地盤の陶器瓦専業メーカー最大手。三州瓦主体。製造合理化で先行。高耐久性で差別化,【単独事業】Ｊ形瓦25、Ｆ形瓦64、Ｍ形瓦3、商品他6、工事2(2024.3),330,---,45.3,4510000
石膏ボード専業。同業の海外大手、独クナウフ社がＴＯＢを実施、全株取得して上場廃止へ,石膏ボード81、他19(2022.3),429,584,45.0,5300000
ベントナイト（特殊粘土鉱物）の最大手。自動車、建機、建設が主な納入先。海外市場を開拓中,ベントナイト72(12)、クレイサイエンス28(10)(2024.3),237,297,41.9,5350000
オフセット型砥石で首位。ノリタケによるＴＯＢ成立。商品の相互補完で海外市場の開拓推進,国内砥石製造・販売26(9)、海外砥石製造・販売47(1)、製品商品販売27(0)【海外】39(2014.3),271,968,42.9,4560000
耐火れんが原料マグネシアクリンカーで国内独占。親会社の完全子会社化で７月２９日上場廃止,マグネシア38(12)、カルシア53(8)、ファイン7(8)、他2(0)(2013.3),654,817,43.1,5710000
太平洋セメントグループの中核建材会社。工業製品や自動車関連部品も。環境分野にも進出,建設・建材43(15)、工業製品・エンジニアリング57(5)、他0(59)(2024.3),211,838,47.0,5540000
耐熱技術生かし、プラント向け工事のほか、環境関連など工業製品、自動車部品製造・販売も,プラント向け工事・販売29(14)、工業製品21(17)、高機能製品17(22)、自動車部品20(8)、建材13(2)【海外】19(2024.3),1887,6468,41.0,7200000
金属・木材向け研磨布紙大手。ＯＡ機器紙送りローラーや不動産賃貸も。オカモトがＴＯＢ実施,研磨布紙等製造販売83(2)、ＯＡ器材部材等製造販売12(24)、不動産賃貸5(83)【海外】8(2023.12),110,112,45.1,5400000
研磨布紙の大手。ＭｉｐｏｘによるＴＯＢと第三者割当増資で完全子会社に。上場廃止予定,研磨材100【海外】31(2015.12),104,109,38.5,4540000
粗鋼生産量で国内首位、世界４位。１２年に住金と合併し発足。技術力に定評。海外を積極拡大,製鉄90(10)、エンジニアリング4(0)、ケミカル＆マテリアル3(6)、システムソリューション3(11)【海外】40(2024.3),28543,113639,39.9,8290000
住友重鎮で粗鋼国内３位。高級鋼管世界首位級。新日鉄と１２年１０月合併へ。９月２６日上場廃止,鉄鋼97(5)、他3(7)(2012.3),8413,23007,40.2,6180000
鉄鋼（高炉国内３位）、アルミ・銅、産機・エンジ・建機・電力など複合経営。鉄鋼は自動車比率高い,鉄鋼アルミ41(1)、素形材11(1)、溶接4(5)、機械9(13)、エンジ7(7)、建設機械16(2)、電力12(27)、他0(45)【海外】33(2024.3),11534,38050,39.7,7260000
高炉中堅。表面処理、ステンレスに強み。日金工と統合で９月２６日上場廃止、１０月持株会社上場,鋼材94、他6【海外】18(2012.3),3744,6141,38.5,5470000
日本製鉄系。鋼板、棒線など鉄鋼メーカーの老舗。自社電気炉と高炉で培った圧延技術に特徴,鉄鋼98(6)、エンジニアリング1(4)、不動産1(49)(2024.3),815,1245,43.7,7010000
大手電炉メーカーで日本製鉄系。棒鋼、線材など建設用鋼材に強み。鉄筋の朝日工業が傘下,鉄鋼93(10)、農業資材6(-3)、他2(8)(2024.3),744,2108,39.8,7290000
粗鋼生産国内２位・世界１０位台のＪＦＥスチールが中核の持株会社。商事、エンジニアリングも,鉄鋼64(5)、エンジニアリング10(5)、商社26(3)【海外】37(2024.3),53,62218,47.5,11710000
---,---,---,---,---,---
高炉４位。１２年に日本金属工業と経営統合。新日鉄住金の完全子会社化で１２月２６日に上場廃止,鉄鋼100【海外】21(2018.3),3867,7859,38.8,5820000
電炉の雄。独立系で業界首位級。建材が主力で、機動的な価格政策に特長。熱延鋼板にも進出,【単独事業】鋼材97、他3【海外】20(2024.3),1133,---,39.3,8310000
関西電炉大手。棒鋼に強く、ネジ節棒鋼も。ベトナムと米国、カナダで展開。環境リサイクル併営,国内鉄鋼50(15)、海外鉄鋼47(-2)、環境リサイクル2(13)、他1(1)【海外】47(2024.3),996,3926,40.3,7550000
電炉大手でＨ形鋼が主力。早くから海外積極的、タイのほか持分で米国や中東、韓国など展開,鉄鋼93(13)、軌道用品5(12)、他2(5)【海外】50(2024.3),91,2567,40.1,8920000
電炉中堅。建築用棒鋼が主力。圧接不要のネジ節棒鋼と継ぎ手で国内シェア過半。販売提携推進,鉄鋼99(13)、他1(3)(2024.3),602,815,38.2,5960000
トピー工業系列の電炉メーカー。新潟県が地盤。主力は異形棒鋼。高強度鉄筋など特殊鋼強化,鉄鋼100(2024.3),398,498,42.4,5410000
関東地盤の電炉中堅。中小型山形鋼３位。大阪製鉄のＴＯＢが１６年３月成立、７月１４日上場廃止,【単独事業】鋼材69、鋼片29、他2【輸出】30(2016.3),138,---,39.7,5760000
日本製鉄系電炉の中核。一般形鋼に強み。エレベーター用レールも高シェア。東京鋼鐵が傘下,鋼材94、鋼片他6【海外】33(2024.3),600,1086,40.3,6400000
独立系圧延メーカー。メッキ鋼板が主力、台湾に上場子会社。塗装鋼板や家庭用物置も。好財務,鋼板関連95(6)、ロール2(2)、グレーチング2(6)、不動産1(48)、他1(9)【海外】35(2024.3),1235,2411,41.7,7080000
スチール缶用ブリキ製造が柱。ＨＤ基板や光学フィルム育成。東洋製罐ＧＨＤが完全子会社化へ,鋼板関連64(5)、機能材料関連21(4)、機械関連15(3)【海外】35(2018.3),1255,2815,38.7,7140000
関東の中堅電炉。建築用棒鋼主力。種苗など農業資材併営。合同製鉄ＴＯＢで７月２３日上場廃止,鉄鋼建設資材63(1)、砕石砕砂・マテリアルリサイクル6(6)、農業資材30(4)、他0(3)(2019.3),436,501,40.1,5920000
新日鉄住金系。自動車用鋼管で１位。建機・産機向け鋼管や建材も強い。７月２９日、上場廃止,鋼管100(3)、不動産賃貸0(43)(2013.3),476,1078,39.2,5800000
圧延専業で磨き帯鋼に強み。２輪部品事業の売却やステンレス冷延の大半撤退で業容縮小,鉄鋼製品98(2)、不動産2(52)(2024.3),127,148,45.6,5420000
厚板専業メーカー。産業、工作機械向け主力で建築にも積極的に進出。国内最大級の電気炉保有,鉄鋼関連96(15)、レンタル1(9)、物流1(25)、エンジニアリング2(3)(2024.3),372,521,40.9,7230000
溶接鋼管国内首位、建設関連強い。ステンレス精密細管メーカー買収。海外展開積極的。好財務,鋼管84、表面処理鋼板13、他3【海外】45(2024.3),595,2583,39.6,6940000
ステンレス溶接管の大手で加工技術に強み。自動車向けが主。ステンレス条鋼等の加工販売も,ステンレス管（国内）54、ステンレス管（海外）5、ステンレス条鋼24、ステンレス加工品2、鋼管14、機械1(2024.3),528,700,39.1,5900000
特殊鋼専業で世界最大級。日産、ホンダ等自動車向け主力。高級鋼を拡大中。日本製鉄と親密,特殊鋼鋼材38(5)、機能材料・磁性材料35(7)、自動車・産機部品18(5)、エンジニアリング4(10)、流通・サービス5(6)【海外】27(2024.3),3359,12162,40.0,7930000
神戸製鋼傘下の特殊鋼メーカー。金型素材となる工具鋼が主力。建機や産機向けに鋳鉄部品も,特殊鋼76(-5)、鋳鉄24(-1)【海外】11(2024.3),501,1089,42.2,7590000
ステンレス専業で日本冶金と双璧。省ニッケル鋼など育成。９月２６日上場廃止、日新製鋼と統合,ステンレス鋼・耐熱鋼85、各種二次加工製品14、他1【海外】25(2012.3),642,822,38.9,5450000
